State,BRANCH NAME,VillageName,Center,Customer_Name,OutStanding_Principal,Num_Days_SinceLAstDue,Bucket_Name
S2,PAL,271,37,C100,5820,0,Current (0 Days)
S2,AUR,239,17,C101,2117,0,Current (0 Days)
S2,PAL,272,33,C102,11478,0,Current (0 Days)
S2,AMB,229,39,C103,3730,0,Current (0 Days)
S2,NAN,197,39,C104,5734,0,Current (0 Days)
S2,NAN,197,39,C105,2425,0,Current (0 Days)
S2,BAD,225,39,C106,1069,0,Current (0 Days)
S1,HOS,515,7-,C107,3280,0,Current (0 Days)
S1,HOS,515,7-,C108,10309,0,Current (0 Days)
S2,HAD,179,91,C109,579,0,Current (0 Days)
S2,BAS,196,56,C110,13,0,Current (0 Days)
S2,AMB,226,45,C111,2425,0,Current (0 Days)
S2,AMB,226,45,C112,618,0,Current (0 Days)
S2,AMB,226,45,C113,483,0,Current (0 Days)
S2,AMB,228,50,C114,1474,0,Current (0 Days)
S2,AMB,229,71,C115,462,0,Current (0 Days)
S2,PAL,272,14,C116,9547,0,Current (0 Days)
S2,NAN,197,1-,C117,6678,0,Current (0 Days)
S2,NAN,197,1-,C118,7439,0,Current (0 Days)
S2,NAN,197,1-,C119,7439,0,Current (0 Days)
S2,NAN,197,1-,C120,6091,0,Current (0 Days)
S2,PAI,245,37,C121,1311,0,Current (0 Days)
S2,NAN,197,1-,C122,8428,0,Current (0 Days)
S2,NAN,197,1-,C123,7439,0,Current (0 Days)
S2,PAI,245,37,C124,5510,0,Current (0 Days)
S2,PAI,737,39,C125,3325,0,Current (0 Days)
S1,SIN,738,40,C126,8803,0,Current (0 Days)
S1,SIN,738,40,C127,8803,0,Current (0 Days)
S1,SIN,738,40,C128,8803,0,Current (0 Days)
S2,SHA,278,42,C129,1257,0,Current (0 Days)
S2,AMB,228,52,C130,2409,0,Current (0 Days)
S2,AMB,228,52,C131,2409,0,Current (0 Days)
S2,NIL,358,10,C132,7061,0,Current (0 Days)
S2,PAI,341,16,C133,1030,0,Current (0 Days)
S2,PAI,341,16,C134,1030,0,Current (0 Days)
S2,PAI,341,16,C135,1701,0,Current (0 Days)
S2,AUR,238,10,C136,174,0,Current (0 Days)
S2,AUR,237,71,C137,269,0,Current (0 Days)
S2,NAN,197,70,C138,1097,0,Current (0 Days)
S2,NAN,197,70,C139,4038,0,Current (0 Days)
S2,BAS,213,24,C140,2244,0,Current (0 Days)
S2,AUR,237,99,C141,532,0,Current (0 Days)
S2,AHM,354,64,C142,587,0,Current (0 Days)
S1,BAL,738,43,C143,561,0,Current (0 Days)
S2,AHM,203,82,C144,7778,0,Current (0 Days)
S2,AHM,203,82,C145,8259,0,Current (0 Days)
S2,AHM,203,82,C146,14774,0,Current (0 Days)
S2,AHM,203,82,C147,15642,0,Current (0 Days)
S2,AHM,203,82,C148,16513,0,Current (0 Days)
S2,AHM,203,82,C149,8261,0,Current (0 Days)
S2,AHM,203,82,C150,9137,0,Current (0 Days)
S2,AHM,353,76,C151,3924,0,Current (0 Days)
S2,AHM,353,76,C152,3924,0,Current (0 Days)
S2,PAL,273,14,C153,7785,0,Current (0 Days)
S2,PAL,273,14,C154,14742,0,Current (0 Days)
S2,NIL,355,43,C155,6878,0,Current (0 Days)
S2,PAI,329,12,C156,1060,0,Current (0 Days)
S2,HAD,179,73,C157,4899,0,Current (0 Days)
S2,HAD,179,73,C158,4897,0,Current (0 Days)
S2,HAD,179,73,C159,4897,0,Current (0 Days)
S2,HAD,179,73,C160,4897,0,Current (0 Days)
S2,HAD,179,73,C161,4897,0,Current (0 Days)
S2,SHI,101,16,C162,4369,0,Current (0 Days)
S2,BAS,213,10,C163,3977,0,Current (0 Days)
S2,BAS,213,10,C164,3977,0,Current (0 Days)
S2,HAD,194,31,C165,913,0,Current (0 Days)
S2,HAD,194,16,C166,4143,0,Current (0 Days)
S2,HAD,179,93,C167,2852,0,Current (0 Days)
S2,HAD,195,57,C168,9245,0,Current (0 Days)
S2,HAD,195,57,C169,9245,0,Current (0 Days)
S2,HAD,195,57,C170,7158,0,Current (0 Days)
S2,HAD,194,16,C171,6821,0,Current (0 Days)
S2,HAD,195,57,C172,9245,0,Current (0 Days)
S2,HAD,195,57,C173,9245,0,Current (0 Days)
S2,HAD,195,57,C174,9245,0,Current (0 Days)
S2,AKA,212,15,C175,5076,0,Current (0 Days)
S2,AHM,353,76,C176,11180,0,Current (0 Days)
S2,HAD,194,12,C177,5070,0,Current (0 Days)
S2,SIL,236,15,C178,2499,0,Current (0 Days)
S2,BAD,227,16,C179,3443,0,Current (0 Days)
S2,BAD,227,16,C180,2069,0,Current (0 Days)
S2,AUR,238,80,C181,96,0,Current (0 Days)
S2,AUR,238,80,C182,1135,0,Current (0 Days)
S2,HAD,194,35,C183,5382,0,Current (0 Days)
S2,HAD,179,93,C184,2304,0,Current (0 Days)
S2,HAD,194,75,C185,1801,0,Current (0 Days)
S2,HAD,194,31,C186,913,0,Current (0 Days)
S2,NAI,201,10,C187,7504,0,Current (0 Days)
S2,NAI,201,10,C188,7504,0,Current (0 Days)
S2,NAI,201,10,C189,11678,0,Current (0 Days)
S2,SHA,277,12,C190,10776,0,Current (0 Days)
S2,NAN,196,43,C191,6524,0,Current (0 Days)
S2,NAN,196,43,C192,8650,0,Current (0 Days)
S2,NAN,196,43,C193,6524,0,Current (0 Days)
S2,PAI,245,86,C194,5146,0,Current (0 Days)
S2,PAI,329,44,C195,4267,0,Current (0 Days)
S2,AUR,239,13,C196,461,0,Current (0 Days)
S2,AHM,203,82,C197,8879,0,Current (0 Days)
S2,AHM,203,82,C198,8016,0,Current (0 Days)
S2,HAD,194,61,C199,516,0,Current (0 Days)
S2,PAI,245,37,C200,1693,0,Current (0 Days)
S2,NAI,201,12,C201,4391,0,Current (0 Days)
S2,NAI,201,12,C202,4389,0,Current (0 Days)
S2,NAI,201,12,C203,4869,0,Current (0 Days)
S2,NAI,201,30,C204,5600,0,Current (0 Days)
S2,PAI,245,43,C205,2,0,Current (0 Days)
S2,HAD,180,42,C206,6930,0,Current (0 Days)
S2,HAD,180,42,C207,8217,0,Current (0 Days)
S2,HAD,194,11,C208,1103,0,Current (0 Days)
S2,AUR,237,72,C209,1016,0,Current (0 Days)
S2,HAD,179,73,C210,5513,0,Current (0 Days)
S2,HAD,179,73,C211,7107,0,Current (0 Days)
S2,AHM,203,82,C212,8879,0,Current (0 Days)
S2,HAD,180,42,C213,6930,0,Current (0 Days)
S2,NAN,197,24,C214,6324,0,Current (0 Days)
S2,NAN,197,24,C215,7046,0,Current (0 Days)
S2,NAN,197,24,C216,7081,0,Current (0 Days)
S2,NAN,197,28,C217,6919,0,Current (0 Days)
S2,NAN,197,28,C218,7045,0,Current (0 Days)
S2,NAI,200,42,C219,3081,0,Current (0 Days)
S2,BAS,213,24,C220,628,0,Current (0 Days)
S2,PAC,293,15,C221,3782,0,Current (0 Days)
S2,AUR,239,17,C222,2229,0,Current (0 Days)
S2,NAI,201,30,C223,4322,0,Current (0 Days)
S1,SHI,552,43,C224,825,0,Current (0 Days)
S2,AKA,211,15,C225,12472,0,Current (0 Days)
S2,SIL,235,42,C226,5996,0,Current (0 Days)
S2,NAI,201,16,C227,4179,0,Current (0 Days)
