State Name,Branch Name,Village Name,Center Name,Customer Name,Out Standing Principal,Num Days Since Last Due,Bucket Name
S2,AUR,244,99,C100,672.04,0,Current (0 Days)
S1,HOS,515,36,C101,454.11,0,Current (0 Days)
S2,BAS,196,11,C102,371.22,0,Current (0 Days)
S2,PAL,273,14,C103,9752.71,0,Current (0 Days)
S2,PAL,272,16,C104,11024.7,0,Current (0 Days)
S2,AUR,242,14,C105,482.41,0,Current (0 Days)
S2,KIN,192,44,C106,1845.74,0,Current (0 Days)
S2,HAD,195,14,C107,8420.47,0,Current (0 Days)
S2,KIN,192,44,C108,2847.68,0,Current (0 Days)
S2,AMB,228,46,C109,2507.35,0,Current (0 Days)
S2,AUR,239,16,C110,421.47,0,Current (0 Days)
S2,KIN,192,44,C111,980.35,0,Current (0 Days)
S1,BAL,517,36,C112,5069.22,0,Current (0 Days)
S1,HOS,515,19,C113,2518.26,0,Current (0 Days)
S2,NIL,357,15,C114,1661.04,0,Current (0 Days)
S2,SHA,279,38,C115,2765.42,0,Current (0 Days)
S1,BAL,517,39,C116,10385.39,0,Current (0 Days)
S2,AKA,212,36,C117,724.28,0,Current (0 Days)
S1,HOS,515,19,C118,2518.26,0,Current (0 Days)
S2,KIN,192,44,C119,1388.96,0,Current (0 Days)
S2,NAN,197,16,C120,10053.84,0,Current (0 Days)
S2,AUR,736,93,C121,1144.22,0,Current (0 Days)
S2,PAI,329,70,C122,4562.75,0,Current (0 Days)
S2,SHA,277,36,C123,704.63,0,Current (0 Days)
S2,PAL,735,37,C124,3428.14,0,Current (0 Days)
S2,PAL,273,37,C125,2778.91,0,Current (0 Days)
S1,SIN,738,39,C126,8425.9,0,Current (0 Days)
S2,NIL,358,65,C127,4390.6,0,Current (0 Days)
S1,BAL,517,35,C128,398.51,0,Current (0 Days)
S2,PAL,272,16,C129,11055.75,0,Current (0 Days)
S2,AMB,228,17,C130,3019.91,0,Current (0 Days)
S2,BAS,196,36,C131,1271.15,0,Current (0 Days)
S2,SHA,279,11,C132,383.16,0,Current (0 Days)
S1,SAN,737,22,C133,817,0,Current (0 Days)
S2,NAN,197,43,C134,2955.3,0,Current (0 Days)
S2,KIN,192,44,C135,5347.59,0,Current (0 Days)
S2,AKA,212,16,C136,6207.98,0,Current (0 Days)
S1,KUD,736,18,C137,1156.36,0,Current (0 Days)
S1,SAN,737,22,C138,817,0,Current (0 Days)
S2,AMB,228,18,C139,9797.3,0,Current (0 Days)
S1,HOS,515,19,C140,3368.26,0,Current (0 Days)
S1,HOS,515,19,C141,2604.95,0,Current (0 Days)
S2,PAL,272,33,C142,17788.57,0,Current (0 Days)
S2,PAI,341,85,C143,2369.92,0,Current (0 Days)
S2,NAN,197,59,C144,2766.99,0,Current (0 Days)
S2,NAN,197,59,C145,1954.7,0,Current (0 Days)
S2,SIL,236,40,C146,655.44,0,Current (0 Days)
S2,SIL,236,40,C147,496.14,0,Current (0 Days)
S2,AUR,238,58,C148,1129.55,0,Current (0 Days)
